"Story","Title","Result","Date","Stability","Duration (s)"
"As a user","as a user I want to register and successfully","SUCCESS","2023-05-09T06:31:30.1381463+07:00[Asia/Bangkok]","0.0","16.11"
"As a user","as a user I want to login and successfully","SUCCESS","2023-05-09T06:31:47.7520227+07:00[Asia/Bangkok]","0.0","10.54"
"As a user","as a user I want to see product details","SUCCESS","2023-05-09T06:31:59.5855104+07:00[Asia/Bangkok]","0.0","17.34"
"As a user","as a user I want to add a product to my shopping cart","SUCCESS","2023-05-09T06:32:18.2202335+07:00[Asia/Bangkok]","0.0","15.81"
"As a user","as a user I want to pay for a product in a shopping cart","SUCCESS","2023-05-09T06:32:35.2862909+07:00[Asia/Bangkok]","0.0","17.72"
"As a user","as a user I want to select the category","SUCCESS","2023-05-09T06:32:54.2745067+07:00[Asia/Bangkok]","0.0","14.53"
"As a user","as a user I want transactions that have been done","FAILURE","2023-05-09T06:33:10.1424272+07:00[Asia/Bangkok]","0.0","18.17"
"As a user","as a user I want to logout from the account","FAILURE","2023-05-09T06:33:29.6153356+07:00[Asia/Bangkok]","0.0","14.99"
"As a user","as a user I want to login with invalid email","SUCCESS","2023-05-09T06:33:45.8406466+07:00[Asia/Bangkok]","0.0","12.69"
"As a user","as a user I want to login with invalid password","SUCCESS","2023-05-09T06:33:59.779271+07:00[Asia/Bangkok]","0.0","9.57"
"As a user","as a user I want to login with invalid password and email","SUCCESS","2023-05-09T06:34:10.6063136+07:00[Asia/Bangkok]","0.0","9.68"
