"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As admin I can get all product data","SUCCESS","2023-05-09T05:47:10.3895136+07:00[Asia/Bangkok]","0.0","8.65"
"User","GET - As admin I cannot get all product data","SUCCESS","2023-05-09T05:47:19.0808782+07:00[Asia/Bangkok]","0.0","1.01"
"User","GET - As admin I can get one detail product data","SUCCESS","2023-05-09T05:47:20.1235122+07:00[Asia/Bangkok]","0.0","0.98"
"User","GET - As admin I cannot get one detail product data","SUCCESS","2023-05-09T05:47:21.1271187+07:00[Asia/Bangkok]","0.0","0.88"
"User","GET - As admin I can get product ratings","SUCCESS","2023-05-09T05:47:22.059237+07:00[Asia/Bangkok]","0.0","0.89"
"User","GET - As admin I cannot get product ratings","SUCCESS","2023-05-09T05:47:22.9656265+07:00[Asia/Bangkok]","0.0","0.65"
"User","GET - As admin I can get product comments","SUCCESS","2023-05-09T05:47:23.6512083+07:00[Asia/Bangkok]","0.0","0.94"
"User","GET - As admin I cannot get product comments","SUCCESS","2023-05-09T05:47:24.6155427+07:00[Asia/Bangkok]","0.0","0.71"
"User","DELETE - As admin I have be able to delete product","SUCCESS","2023-05-09T05:47:25.3431992+07:00[Asia/Bangkok]","0.0","0.41"
"User","DELETE - As admin I cannot delete product","SUCCESS","2023-05-09T05:47:25.8250588+07:00[Asia/Bangkok]","0.0","0.45"
"User","POST - As admin I have be able to create new product","SUCCESS","2023-05-09T05:47:26.2924559+07:00[Asia/Bangkok]","0.0","1.23"
"User","POST - As admin I cannot create new product","SUCCESS","2023-05-09T05:47:27.553696+07:00[Asia/Bangkok]","0.0","0.72"
"User","POST - As admin I have be able to assign product rating","SUCCESS","2023-05-09T05:47:28.3148804+07:00[Asia/Bangkok]","0.0","1.22"
"User","POST - As admin I cannot assign product rating","SUCCESS","2023-05-09T05:47:29.5413335+07:00[Asia/Bangkok]","0.0","0.65"
"User","POST - As admin I have be able to create comment for product","SUCCESS","2023-05-09T05:47:30.2064651+07:00[Asia/Bangkok]","0.0","0.95"
"User","POST - As admin I cannot comment for product","SUCCESS","2023-05-09T05:47:31.165675+07:00[Asia/Bangkok]","0.0","0.62"
"User","GET - As admin I can get category by ID","SUCCESS","2023-05-09T05:47:31.8131405+07:00[Asia/Bangkok]","0.0","0.65"
"User","GET - As admin I cannot get category by ID","SUCCESS","2023-05-09T05:47:32.4813013+07:00[Asia/Bangkok]","0.0","0.61"
"User","GET - As admin I can get all categories","SUCCESS","2023-05-09T05:47:33.1170243+07:00[Asia/Bangkok]","0.0","0.78"
"User","GET - As admin I cannot get all categories","SUCCESS","2023-05-09T05:47:33.9030681+07:00[Asia/Bangkok]","0.0","0.82"
"User","DELETE - As admin I have be able to delete product categories","SUCCESS","2023-05-09T05:47:34.7460469+07:00[Asia/Bangkok]","0.0","0.46"
"User","DELETE - As admin cannot delete product categories","SUCCESS","2023-05-09T05:47:35.2134886+07:00[Asia/Bangkok]","0.0","0.38"
"User","POST - As admin I have be able to create new product categories","SUCCESS","2023-05-09T05:47:35.6202417+07:00[Asia/Bangkok]","0.0","0.7"
"User","POST - As admin I cannot create new product categories","SUCCESS","2023-05-09T05:47:36.3499836+07:00[Asia/Bangkok]","0.0","0.73"
"User","GET - As admin I can get user information","SUCCESS","2023-05-09T05:47:37.0963041+07:00[Asia/Bangkok]","0.0","0.85"
"User","GET - As admin I cannot get user information","SUCCESS","2023-05-09T05:47:37.959107+07:00[Asia/Bangkok]","0.0","0.55"
"User","POST - As admin I have be able to create register","SUCCESS","2023-05-09T05:47:38.5309086+07:00[Asia/Bangkok]","0.0","1.15"
"User","POST - As admin I cannot create register","SUCCESS","2023-05-09T05:47:39.7084997+07:00[Asia/Bangkok]","0.0","0.66"
"User","POST - As admin I have be able to create login","SUCCESS","2023-05-09T05:47:40.394809+07:00[Asia/Bangkok]","0.0","0.33"
"User","POST - As admin I cannot login","SUCCESS","2023-05-09T05:47:40.7294352+07:00[Asia/Bangkok]","0.0","0.26"
"User","GET - As admin I can get index","SUCCESS","2023-05-09T05:47:41.0188788+07:00[Asia/Bangkok]","0.0","0.82"
"User","GET - As admin I cannot get index","SUCCESS","2023-05-09T05:47:41.8713608+07:00[Asia/Bangkok]","0.0","0.63"
"User","GET - As admin I can get all orders","SUCCESS","2023-05-09T05:47:42.527395+07:00[Asia/Bangkok]","0.0","0.69"
"User","GET - As admin I cannot get all orders","SUCCESS","2023-05-09T05:47:43.2358577+07:00[Asia/Bangkok]","0.0","0.61"
"User","GET - As admin I can get order by ID","SUCCESS","2023-05-09T05:47:43.871014+07:00[Asia/Bangkok]","0.0","0.76"
"User","GET - As admin I cannot get order by ID","SUCCESS","2023-05-09T05:47:44.6586634+07:00[Asia/Bangkok]","0.0","0.86"
"User","POST - As admin I have be able to create new order","SUCCESS","2023-05-09T05:47:45.5406592+07:00[Asia/Bangkok]","0.0","1.29"
"User","POST - As admin I cannot create new order","SUCCESS","2023-05-09T05:47:46.8634472+07:00[Asia/Bangkok]","0.0","0.67"
