"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As admin I cannot get all product data","FAILURE","2023-05-06T12:43:58.1541033+07:00[Asia/Bangkok]","0.0","1.1"
"User","GET - As admin I cannot get one detail product data","FAILURE","2023-05-06T12:44:00.236707+07:00[Asia/Bangkok]","0.0","0.86"
"User","GET - As admin I cannot get product ratings","FAILURE","2023-05-06T12:44:02.0890425+07:00[Asia/Bangkok]","0.0","0.71"
"User","DELETE - As admin I cannot delete product","FAILURE","2023-05-06T12:44:04.4677881+07:00[Asia/Bangkok]","0.0","0.31"
"User","GET - As admin I cannot get category by ID","FAILURE","2023-05-06T12:44:14.7597917+07:00[Asia/Bangkok]","0.0","0.52"
"User","GET - As admin I cannot get all categories","FAILURE","2023-05-06T12:44:15.8771431+07:00[Asia/Bangkok]","0.0","0.49"
"User","DELETE - As admin cannot delete product categories","FAILURE","2023-05-06T12:44:16.7068094+07:00[Asia/Bangkok]","0.0","0.29"
"User","GET - As admin I cannot get user information","FAILURE","2023-05-06T12:44:18.8899912+07:00[Asia/Bangkok]","0.0","0.45"
"User","POST - As admin I cannot login","FAILURE","2023-05-06T12:44:21.0044764+07:00[Asia/Bangkok]","0.0","0.29"
"User","GET - As admin I cannot get index","FAILURE","2023-05-06T12:44:21.8532552+07:00[Asia/Bangkok]","0.0","0.41"
"User","GET - As admin I cannot get all orders","FAILURE","2023-05-06T12:44:22.7733771+07:00[Asia/Bangkok]","0.0","0.43"
"User","GET - As admin I cannot get order by ID","FAILURE","2023-05-06T12:44:23.8024546+07:00[Asia/Bangkok]","0.0","0.51"
