"Story","Title","Result","Date","Stability","Duration (s)"
"User","GET - As admin I can get all product data","SUCCESS","2023-05-06T12:43:51.5239919+07:00[Asia/Bangkok]","0.0","6.58"
"User","GET - As admin I cannot get all product data","FAILURE","2023-05-06T12:43:58.1541033+07:00[Asia/Bangkok]","0.0","1.1"
"User","GET - As admin I can get one detail product data","SUCCESS","2023-05-06T12:43:59.3029628+07:00[Asia/Bangkok]","0.0","0.88"
"User","GET - As admin I cannot get one detail product data","FAILURE","2023-05-06T12:44:00.236707+07:00[Asia/Bangkok]","0.0","0.86"
"User","GET - As admin I can get product ratings","SUCCESS","2023-05-06T12:44:01.1437247+07:00[Asia/Bangkok]","0.0","0.92"
"User","GET - As admin I cannot get product ratings","FAILURE","2023-05-06T12:44:02.0890425+07:00[Asia/Bangkok]","0.0","0.71"
"User","GET - As admin I can get product comments","SUCCESS","2023-05-06T12:44:02.8292222+07:00[Asia/Bangkok]","0.0","0.73"
"User","GET - As admin I cannot get product comments","SUCCESS","2023-05-06T12:44:03.5822256+07:00[Asia/Bangkok]","0.0","0.45"
"User","DELETE - As admin I have be able to delete product","SUCCESS","2023-05-06T12:44:04.059495+07:00[Asia/Bangkok]","0.0","0.37"
"User","DELETE - As admin I cannot delete product","FAILURE","2023-05-06T12:44:04.4677881+07:00[Asia/Bangkok]","0.0","0.31"
"User","POST - As admin I have be able to create new product","SUCCESS","2023-05-06T12:44:04.812107+07:00[Asia/Bangkok]","0.0","0.94"
"User","POST - As admin I cannot create new product","SUCCESS","2023-05-06T12:44:05.796226+07:00[Asia/Bangkok]","0.0","0.72"
"User","POST - As admin I have be able to assign product rating","SUCCESS","2023-05-06T12:44:06.5346358+07:00[Asia/Bangkok]","0.0","1.08"
"User","POST - As admin I cannot assign product rating","SUCCESS","2023-05-06T12:44:07.6355532+07:00[Asia/Bangkok]","0.0","0.64"
"User","POST - As admin I have be able to create comment for product","SUCCESS","2023-05-06T12:44:08.2923755+07:00[Asia/Bangkok]","0.0","3.81"
"User","POST - As admin I cannot comment for product","SUCCESS","2023-05-06T12:44:12.1280147+07:00[Asia/Bangkok]","0.0","1.97"
"User","GET - As admin I can get category by ID","SUCCESS","2023-05-06T12:44:14.109214+07:00[Asia/Bangkok]","0.0","0.63"
"User","GET - As admin I cannot get category by ID","FAILURE","2023-05-06T12:44:14.7597917+07:00[Asia/Bangkok]","0.0","0.52"
"User","GET - As admin I can get all categories","SUCCESS","2023-05-06T12:44:15.3085077+07:00[Asia/Bangkok]","0.0","0.56"
"User","GET - As admin I cannot get all categories","FAILURE","2023-05-06T12:44:15.8771431+07:00[Asia/Bangkok]","0.0","0.49"
"User","DELETE - As admin I have be able to delete product categories","SUCCESS","2023-05-06T12:44:16.3959137+07:00[Asia/Bangkok]","0.0","0.28"
"User","DELETE - As admin cannot delete product categories","FAILURE","2023-05-06T12:44:16.7068094+07:00[Asia/Bangkok]","0.0","0.29"
"User","POST - As admin I have be able to create new product categories","SUCCESS","2023-05-06T12:44:17.0252793+07:00[Asia/Bangkok]","0.0","0.49"
"User","POST - As admin I cannot create new product categories","SUCCESS","2023-05-06T12:44:17.5384483+07:00[Asia/Bangkok]","0.0","0.72"
"User","GET - As admin I can get user information","SUCCESS","2023-05-06T12:44:18.2934906+07:00[Asia/Bangkok]","0.0","0.59"
"User","GET - As admin I cannot get user information","FAILURE","2023-05-06T12:44:18.8899912+07:00[Asia/Bangkok]","0.0","0.45"
"User","POST - As admin I have be able to create register","SUCCESS","2023-05-06T12:44:19.3473378+07:00[Asia/Bangkok]","0.0","0.79"
"User","POST - As admin I cannot create register","SUCCESS","2023-05-06T12:44:20.1611965+07:00[Asia/Bangkok]","0.0","0.56"
"User","POST - As admin I have be able to create login","SUCCESS","2023-05-06T12:44:20.7334853+07:00[Asia/Bangkok]","0.0","0.25"
"User","POST - As admin I cannot login","FAILURE","2023-05-06T12:44:21.0044764+07:00[Asia/Bangkok]","0.0","0.29"
"User","GET - As admin I can get index","SUCCESS","2023-05-06T12:44:21.3186036+07:00[Asia/Bangkok]","0.0","0.52"
"User","GET - As admin I cannot get index","FAILURE","2023-05-06T12:44:21.8532552+07:00[Asia/Bangkok]","0.0","0.41"
"User","GET - As admin I can get all orders","SUCCESS","2023-05-06T12:44:22.2898815+07:00[Asia/Bangkok]","0.0","0.46"
"User","GET - As admin I cannot get all orders","FAILURE","2023-05-06T12:44:22.7733771+07:00[Asia/Bangkok]","0.0","0.43"
"User","GET - As admin I can get order by ID","SUCCESS","2023-05-06T12:44:23.2358089+07:00[Asia/Bangkok]","0.0","0.54"
"User","GET - As admin I cannot get order by ID","FAILURE","2023-05-06T12:44:23.8024546+07:00[Asia/Bangkok]","0.0","0.51"
"User","POST - As admin I have be able to create new order","SUCCESS","2023-05-06T12:44:24.334384+07:00[Asia/Bangkok]","0.0","0.85"
"User","POST - As admin I cannot create new order","SUCCESS","2023-05-06T12:44:25.2065891+07:00[Asia/Bangkok]","0.0","0.61"
